l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Jambi,Tanjung Jabung Barat,3599d0b7-7c43-45d3-b60a-2bacb1415f2f,103.24402,-1.1544,,,,,,,,,
Jambi,Tanjung Jabung Timur,389febfc-c50c-48cc-8ce0-4b1317b95b67,103.61755,-1.13198,,,,,,,,,
Jambi,Tebo,5b85a932-c792-4968-9833-45df9ec5219d,102.37473,-1.45576,,,,,,,,,
Jawa Barat,Bandung,86a3dc56-1bd7-4cd3-8225-d3e4b976e552,107.63333,-6.91667,,,,,,,,,
Jawa Barat,Bandung,c11f7fd1-6982-4bc6-8eef-36ca4909b663,107.61667,-7.1,,,,,,,,,
Jawa Barat,Bandung Barat,c76405bf-683a-4a1b-8014-7d8163294d86,107.48333,-6.83333,,,,,,,,,
Jawa Barat,Banjar,a50d7523-3312-426e-8e5a-205c81ca90a6,108.53209,-7.36996,,,,,,,,,
Jawa Barat,Bekasi,826664b3-1f31-497f-bc8a-a23699b1a531,107.15,-6.21611,,,,,,,,,
Jawa Barat,Bekasi,87c39cfb-0e3c-4edb-a7a0-754fb70cc587,106.98333,-6.26667,,,,,,,,,
Jawa Barat,Bogor,262b7d3c-2c51-4854-a7e8-6635e0657338,106.80111,-6.59,,,,,,,,,
Jawa Barat,Bogor,fbc373c5-cadc-4dd8-acb3-1e57850e2a08,106.71667,-6.55,,,,,,,,,
Jawa Barat,Ciamis,491bc345-d6b3-41d0-8707-dc179000af39,108.41667,-7.28333,,,,,,,,,
Jawa Barat,Cianjur,a26f8a8c-f8a6-4a4d-b448-39af6eff2d4c,107.08306,-6.7725,,,,,,,,,
Jawa Barat,Cimahi,89637124-13ea-4bd5-8e4d-1d9dfe41e37d,107.54167,-6.88333,,,,,,,,,
Jawa Barat,Cirebon,1f8698ee-09e3-4fdd-aa87-ce44ba300a68,108.55,-6.75,,,,,,,,,
Jawa Barat,Cirebon,a94ecde6-ae27-4849-be89-03384ed6086c,108.56667,-6.8,,,,,,,,,
Jawa Barat,Depok,f5817918-7ce1-436d-9478-c438b3466adb,106.81667,-6.39611,,,,,,,,,
Jawa Barat,Garut,b40a40dd-9cfa-41f2-907f-46dbf0aecbc1,107.78333,-7.41667,,,,,,,,,
Jawa Barat,Indramayu,90f3c906-bd96-4c58-9719-d4d212afe516,108.16667,-6.45,,,,,,,,,
Jawa Barat,Karawang,24bcf73f-36d1-4eff-a32c-ab43a9b7683e,107.41611,-6.24972,,,,,,,,,
Jawa Barat,Kuningan,bf16bdb5-90d0-4831-81a5-ad9cec6c94df,108.56667,-7,,,,,,,,,
Jawa Barat,Majalengka,79b5cd5d-9675-4cf1-8611-b73fefd2bcb9,108.28333,-6.81667,,,,,,,,,
Jawa Barat,Pangandaran,1044e459-d4ff-4534-8a5a-55f09005b983,108.64037,-7.6673,,,,,,,,,
Jawa Barat,Purwakarta,cad5917e-53f4-4f0d-a62f-a7c7b5d69765,107.43333,-6.6,,,,,,,,,
Jawa Barat,Subang,aec9204f-929c-4165-9cbc-aef4877ef448,107.7025,-6.50833,,,,,,,,,
Jawa Barat,Sukabumi,6b4a019d-36cf-45e7-bf90-65488ec76fad,106.74333,-7.07278,,,,,,,,,
Jawa Barat,Sukabumi,bed8133e-0ea6-45d0-9ce6-a04d2a42e59e,106.93333,-6.93333,,,,,,,,,
